PROCESO;x4;pc1;pc2;pc3;pc4;v1x;v2x;v3x;x1;x2;x3
0;0.291077;-2.6552;-0.378261;-3.149725;2.885945;16;65.135823;16;16.619233;5278.425147;380.214502
0;0.283138;0.06706;0.663556;-2.742678;2.039294;8;68;8;251.338838;6676.477095;82.827455
0;0.377511;-1.383675;0.85046;-2.479952;1.85457;11;68;11;5.650844;7140.375706;6.37662
0;0.447187;-1.156497;0.791685;-2.425841;1.690443;11;16;11;212.280206;7247.759328;60.188276
0;0.389424;-1.330636;0.844538;-2.454388;1.761336;11;16;11;76.17387;7130.175449;60.007783
0;0.381252;-1.955922;0.863044;-2.33749;1.806244;16;16;16;12.813009;6494.635477;216.24698
0;0.329581;-2.056083;0.869387;-2.346307;1.882857;11;16;11;41.02201;6147.284594;67.383309
0;0.322436;-1.253687;0.763478;-2.469459;1.91195;12;68;12;77.591782;6239.494064;90.684222
0;0.224389;-0.540173;0.448322;-1.938543;0.876817;6;12;6;63.680268;8118.275005;212.630095
0;0.249297;-0.99316;0.128324;-1.680738;1.796339;10;68;10;177.290439;4564.470892;69.428608
0;0.248086;-0.964544;0.285474;-1.764985;1.76717;10;68;10;114.246225;4788.860917;96.047927
0;0.258987;0.024063;0.793044;-2.614725;1.429826;11;5;11;93.018215;5719.190577;75.51346
0;0.353477;-1.944673;0.816875;-2.218216;1.56872;11;12;11;1.876887;6297.639458;252.019374
0;0.450377;-1.305519;0.835909;-2.394811;1.597532;12;12.919237;12;53.386968;6713.607718;15.187151
0;0.287342;-0.725617;-0.924937;-1.162084;1.791185;11;12;11;52.264458;7076.493939;229.121269
0;0.296028;-0.895323;0.437748;-2.033615;1.927557;2;68;2;327.236045;5391.243679;153.465597
0;0.289741;-0.780822;0.82778;-2.553218;1.711871;2;68;2;341.580892;5634.67238;27.852505
0;0.270429;-1.612128;0.851057;-2.386999;1.744341;6;68;6;162.994192;5566.210195;73.836757
0;0.311926;-0.746443;0.836371;-2.637971;1.90682;11;68;11;169.673142;5680.54574;10.383889
0;0.316197;-0.643156;0.836661;-2.684561;1.968162;11;68;11;238.498703;5719.572611;0.457331
0;0.263995;-0.846986;0.835702;-2.60195;1.873623;2;68;2;201.977389;4983.584405;149.323238
0;0.264477;-0.781697;0.686548;-2.312781;1.975818;2;68;2;144.366524;4879.920958;115.220266
0;0.119329;-2.345357;0.877428;-2.287987;1.892946;16;32;16;1.612093;954.678751;261.926624
0;0.461081;-1.078284;0.803824;-2.230575;1.060185;11;70;11;470.71378;1791.322064;201.337969
0;0.166881;-1.157988;0.134626;-1.484022;1.31924;11;70;11;283.155504;1943.307698;143.993849
0;0.513243;-3.20537;0.897347;-2.0821;1.841023;16;63;16;36.273272;2994.91205;413.987813
0;0.447381;-0.861398;0.712324;-2.077166;0.754869;11.226856;62.752449;11.226856;19.890988;2101.938042;103.371165
0;0.184228;-0.657205;-1.033845;-1.061836;1.409318;6;70;6;189.718736;1331.227468;64.752437
0;0.203165;-0.929435;0.656553;-1.960725;1.062518;6;70;6;406.96943;1362.732235;14.374003
0;0.343934;-0.924603;0.523219;-2.047807;1.134207;6;70;6;455.793524;1580.768076;195.096551
0;0.497798;-3.818605;0.928985;-2.077405;2.162192;16;65;16;18.9497;2146.812934;382.333996
0;0.505159;-3.995635;0.935097;-2.051422;2.192834;18.40541;65;18.40541;0.944755;2518.212163;211.293213
0;0.512815;-3.547304;0.916666;-2.093162;2.054582;16;63;16;8.567624;2868.104352;279.719033
0;0.332168;-3.275179;0.788255;-2.524871;2.831538;16;65;16;9.56059;4232.545326;273.181616
0;0.251972;-1.79492;0.894854;-2.665726;2.546129;12;69;12;273.611576;4353.592805;86.53772
0;0.2264;-2.891677;0.925621;-2.44689;2.590125;18.646634;65;18.646634;3.51366;3422.699677;213.758318
0;0.258149;-1.012351;0.860636;-2.721891;2.262736;8;69;8;231.816542;3725.428597;475.999237
0;0.254006;-0.490819;0.812346;-2.551588;1.550283;7;68;7;182.790338;4389.621287;41.469687
0;0.310629;-1.638905;0.853019;-2.391521;1.770278;8.791251;68;8.791251;45.342934;4798.883488;409.531275
0;0.229324;-0.050602;0.443394;-2.082164;1.967432;2;68;2;200.968457;4143.000581;50.129342
0;0.249231;-0.144498;0.804995;-2.639963;1.584969;2;68;2;162.801674;3879.101048;5.811756
0;0.287454;-1.703475;0.845797;-2.305006;1.587283;16;68;16;63.712705;3881.428463;184.564326
0;0.363075;-1.981628;0.602527;-1.967134;1.393989;16;52;16;9.376507;2174.460692;144.625629
0;0.511432;-2.562446;0.688898;-1.870727;1.280477;16;10;16;13.454531;2204.842567;225.582665
0;0.466105;-1.703031;0.82567;-2.141136;1.17401;16;12.483232;16;0.739057;2431.576153;96.157073
0;0.363088;-2.211276;0.832077;-1.975735;1.033111;15;10;15;101.854923;2252.108577;210.940852
0;0.433914;0.354219;-1.448734;-0.998412;1.622052;15;10;15;297.573616;2033.979509;13.635464
0;0.475279;-1.434697;0.788609;-1.953944;0.556483;16;52;16;2.608229;1639.564321;69.200426
0;0.496086;-1.534084;0.040452;-1.39624;0.749276;16;10;16;19.391542;1912.125076;39.433033
0;0.442564;-1.947716;0.813232;-1.93498;0.787267;16;52;16;3.278701;2492.587696;62.40196
0;0.400545;0.690588;0.204942;-1.671878;0.043311;15;70;15;130.170848;1945.763157;60.461328
0;0.469633;-1.635911;0.789916;-1.878444;0.475452;12.558119;26;12.558119;25.889721;1548.484184;36.610279
0;0.439112;-1.891919;0.794505;-1.806224;0.432442;6;26;6;23.787486;1390.923208;111.522022
0;0.289568;-1.052951;0.752945;-1.826699;0.028465;6;32;6;66.368382;83.308569;268.978585
0;0.369728;-1.023276;0.754269;-1.8502;0.071586;15;3;15;7.823935;258.681589;103.155718
0;0.174365;-1.408675;0.761184;-1.741539;0.006988;4;3;4;119.262577;274.011861;53.637031
0;0.226083;-0.487293;0.591821;-1.676822;0.10343;4;3;4;103.477418;346.012084;12.987633
0;0.454494;-0.602917;0.516062;-1.61736;0.305843;12;70;12;37.726145;75.353566;160.43434
0;0.23668;-1.007731;0.751897;-1.837524;0.031195;4.912162;70;4.912162;2.206236;447.306446;7.967344
0;0.228245;-0.518028;-1.347667;-0.631059;0.687907;6;70;6;214.39287;406.70819;32.404344
0;0.188435;-1.831463;0.840044;-2.203309;1.400459;16;70;16;9.648125;2155.510468;107.015916
0;0.479163;-1.239939;0.755264;-1.765536;-0.024155;8.982706;70;8.982706;52.863587;333.336256;114.751937
0;0.465049;-1.110863;0.751604;-1.790971;-0.030138;16;70;16;52.109218;365.154413;148.164063
0;0.409452;-1.016628;0.747409;-1.797133;-0.065779;15.137693;70;15.137693;20.904212;392.700955;70.307187
0;0.472396;-1.52915;0.543666;-1.633792;0.247987;16;70;16;11.816052;1487.625689;184.757742
0;0.489586;-1.695063;0.550316;-1.52915;0.163091;16;70;16;1.718502;1657.444965;128.504004
0;0.404722;0.360723;-0.290382;-1.470386;0.456522;10;70;10;183.553429;1495.425445;346.558567
0;0.486954;-1.184201;0.028104;-1.366335;0.270102;16;70;16;4.281662;1533.380782;175.354334
0;0.487112;-2.960914;0.858157;-1.867329;1.166948;16.158733;33;16.158733;14.234716;948.99061;140.985117
0;0.419278;-2.637215;0.85133;-1.950288;1.200268;16;33;16;26.5254;1115.411083;109.163295
0;0.396064;-2.825461;0.859043;-1.932551;1.257786;16;33;16;34.73385;1156.491642;79.022185
0;0.07517;-0.752671;-1.202629;-0.86579;1.163005;1;64;1;164.067162;1932.798445;226.420576
0;0.086473;-0.825565;0.775842;-2.110702;0.620813;1;64;1;206.238477;2649.587237;171.367454
0;0.073946;-0.870397;0.77688;-2.099969;0.618106;1;64;1;75.574429;2445.747638;31.188322
0;0.10977;-0.934691;0.778369;-2.084577;0.614225;19.256591;20.959497;19.256591;0.086453;2413.525755;188.205153
