PROCESO,pc2,pc3,v2x,v3x,x3,x4
1,1.020618,-0.457651,32.000000,5.000000,100.778200,0.409610
1,1.284262,0.202381,5.000000,4.000000,0.000000,0.344615
1,0.541724,0.459620,29.000000,1.000000,50.000000,0.194280
1,0.725736,-0.057399,29.000000,1.000000,125.000000,0.401251
1,-0.335431,-1.194738,29.000000,1.000000,75.000000,0.349050
1,-1.284920,1.142041,29.000000,1.000000,62.500000,0.337292
1,-0.869206,0.248680,32.000000,7.000000,218.660700,0.378416
1,-0.172324,-1.067822,29.000000,1.000000,12.500000,0.403407
1,-0.355948,0.169878,32.000000,7.000000,79.056940,0.410084
1,-0.742840,0.032212,32.000000,7.000000,106.800000,0.221465
1,-1.260452,0.205271,32.000000,7.000000,115.244300,0.214249
1,-1.139518,0.441016,32.000000,7.000000,100.778200,0.321942
1,-0.609832,-1.127836,32.000000,7.000000,187.500000,0.246966
1,0.471132,0.817624,32.000000,7.000000,128.695400,0.284600
1,0.096590,-0.527187,32.000000,7.000000,151.038100,0.301635
1,0.651968,-0.251206,32.000000,7.000000,12.500000,0.281070
1,-0.780346,-0.000867,32.000000,5.000000,208.041500,0.373429
1,1.505057,-0.529490,32.000000,7.000000,0.000000,0.258903
1,0.087635,2.232990,32.000000,7.000000,0.000000,0.283634
1,-0.922828,0.320383,19.000000,34.000000,177.658400,0.298874
1,-0.647167,0.130651,32.000000,7.000000,62.500000,0.258000
1,-0.898055,-0.279392,32.000000,7.000000,62.500000,0.291923
1,0.608518,-0.621684,32.000000,7.000000,240.117200,0.250010
1,-0.253033,0.686794,32.000000,7.000000,383.446500,0.247214
1,0.488228,-0.019871,19.000000,34.000000,355.316800,0.206473
1,-0.391101,-0.540405,32.000000,7.000000,112.500000,0.287251
1,-0.723800,-0.480561,32.000000,7.000000,35.355340,0.329824
1,-0.115680,-0.062416,32.000000,5.000000,106.800000,0.399828
1,0.304251,-0.910888,29.000000,1.000000,190.394300,0.284212
1,-0.450695,-0.887339,32.000000,7.000000,106.800000,0.274988
1,-1.283817,0.624972,32.000000,7.000000,319.423300,0.336182
1,0.469998,0.732359,32.000000,7.000000,35.355340,0.309340
1,1.227365,0.108175,32.000000,7.000000,25.000000,0.230736
1,-0.455383,-0.118330,32.000000,5.000000,150.519900,0.297662
1,-0.455383,-0.118330,32.000000,5.000000,150.519900,0.297662
1,0.963104,1.147270,32.000000,5.000000,141.421400,0.283517
1,1.548386,0.622014,5.000000,4.000000,35.355340,0.340926
1,0.591657,-0.932438,32.000000,5.000000,0.000000,0.267506
1,-0.661304,-0.570614,32.000000,7.000000,35.355340,0.437622
1,-1.582559,1.433729,5.000000,4.000000,12.500000,0.126723
1,0.967118,-1.281768,32.000000,5.000000,95.197170,0.285668
1,-0.693160,-0.038243,29.000000,1.000000,175.000000,0.354621
1,-0.553508,0.168035,27.000000,31.000000,215.058100,0.365577
1,-0.638667,3.026196,9.000000,32.000000,162.500000,0.278029
1,0.954479,1.300508,9.000000,32.000000,170.018400,0.278653
1,2.261216,1.050517,9.000000,32.000000,39.528470,0.416927
1,0.621656,-0.242155,9.000000,32.000000,35.355340,0.377551
1,-0.123996,-0.653731,32.000000,7.000000,53.033010,0.372560
1,2.138213,0.110408,5.000000,4.000000,223.606800,0.256552
1,-1.827927,1.149998,5.000000,4.000000,67.314560,0.421721
1,0.803101,-0.452191,5.000000,4.000000,12.500000,0.180092
1,-1.388648,0.624252,5.000000,4.000000,0.000000,0.349405
1,-2.264678,0.022664,17.000000,13.000000,353.774300,0.383775
1,1.850494,0.286488,32.000000,5.000000,17.677670,0.328143
1,1.713647,1.105915,9.000000,38.000000,17.677670,0.300387
1,-4.121489,-0.092540,21.000000,32.000000,260.108200,0.271363
1,-2.214650,2.598383,11.000000,38.000000,152.581900,0.480551
1,-1.097045,2.717855,7.000000,20.000000,176.776700,0.328208
1,-1.399920,2.554674,7.000000,20.000000,0.000000,0.211182
1,0.547914,3.132332,7.000000,20.000000,12.500000,0.298581
1,-1.906263,-0.576548,32.000000,5.000000,390.512500,0.291123
1,0.041037,-0.071197,32.000000,5.000000,415.519300,0.274897
1,-0.131777,-0.261664,19.000000,34.000000,138.067000,0.406961
1,-0.385126,1.394351,32.000000,5.000000,87.500000,0.308779
1,0.052550,0.097211,4.000000,12.000000,12.500000,0.399304
1,-0.481402,-0.100886,19.000000,34.000000,88.388350,0.429005
1,-1.639343,-0.771503,32.000000,5.000000,433.913900,0.273938
1,-1.223431,0.373860,32.000000,7.000000,37.500000,0.254930
1,-1.076136,-0.020351,30.000000,2.000000,185.825900,0.358828
1,-1.686736,1.310414,32.000000,5.000000,83.852550,0.255848
1,-0.714439,-1.651736,32.000000,5.000000,250.000000,0.283844
1,-2.350864,-0.833579,32.000000,5.000000,62.500000,0.313434
1,0.009257,-0.288716,32.000000,5.000000,173.655500,0.263404
1,0.610725,-0.335448,32.000000,7.000000,25.000000,0.361404
1,1.856804,0.043180,5.000000,4.000000,27.950850,0.308247
1,1.771056,0.052183,5.000000,4.000000,12.500000,0.408126
1,0.810948,-0.908770,32.000000,5.000000,150.000000,0.177011
1,1.337225,0.049564,32.000000,5.000000,17.677670,0.342429
1,2.195767,1.520780,26.000000,37.000000,25.000000,0.294793
1,-1.307906,2.277720,7.000000,37.000000,79.056940,0.331247
1,0.557594,-0.049656,32.000000,7.000000,12.500000,0.409023
1,0.332390,0.652208,32.000000,7.000000,12.500000,0.194869
1,2.052101,2.227075,9.000000,32.000000,17.677670,0.195893
1,0.863147,1.228963,7.000000,20.000000,75.000000,0.387124
1,1.119942,-1.236103,7.000000,8.000000,70.710680,0.410503
1,0.244248,-0.234542,32.000000,11.000000,62.500000,0.275398
1,0.663104,-0.598233,32.000000,7.000000,152.069100,0.437117
1,1.708180,-0.278921,19.000000,34.000000,343.920400,0.391514
1,1.064009,-1.139041,32.000000,5.000000,168.170300,0.371058
1,-1.894004,0.170380,17.000000,13.000000,17.677670,0.373800
1,1.693363,0.804562,21.000000,37.000000,17.677670,0.402103
1,3.100759,1.347193,21.000000,37.000000,67.314560,0.404296
1,2.386882,1.739301,21.000000,37.000000,27.950850,0.354710
1,2.388843,1.596017,6.000000,38.000000,45.069390,0.385038
1,0.436905,0.023171,32.000000,5.000000,62.500000,0.341293
1,0.810053,-0.118182,32.000000,7.000000,91.001370,0.397377
1,-1.078544,0.038499,7.000000,8.000000,0.000000,0.236169
1,0.050009,-1.570829,32.000000,5.000000,12.500000,0.337713
1,0.486150,-0.098894,32.000000,7.000000,0.000000,0.239478
1,1.549077,-0.497205,32.000000,11.000000,83.852550,0.440744
1,0.006859,1.342618,32.000000,5.000000,0.000000,0.426809
1,0.626484,-0.474808,32.000000,11.000000,0.000000,0.305656
1,-0.263222,-1.072138,32.000000,5.000000,250.000000,0.431873
1,-0.231891,0.710560,32.000000,5.000000,282.012800,0.417976
1,0.997251,-0.004469,32.000000,5.000000,25.000000,0.290550
1,-0.184725,0.601469,8.000000,40.000000,0.000000,0.169221
1,-0.786497,-1.450488,32.000000,11.000000,12.500000,0.437207
1,0.085140,0.561660,32.000000,5.000000,251.557600,0.421437
1,0.085140,0.561660,32.000000,5.000000,251.557600,0.421437
1,0.097282,0.256429,32.000000,5.000000,276.699300,0.450930
1,1.317435,-1.377539,8.000000,9.000000,12.500000,0.382392
1,-2.056107,-2.586517,32.000000,5.000000,17.677670,0.356726
1,-1.361313,0.102901,32.000000,5.000000,0.000000,0.225658
1,-0.037861,-0.605815,32.000000,11.000000,0.000000,0.246158
1,3.527151,2.003188,6.000000,38.000000,35.355340,0.311674
1,1.020618,-0.457651,32.000000,5.000000,100.778200,0.409610
1,1.284262,0.202381,5.000000,4.000000,0.000000,0.344615
1,0.541724,0.459620,29.000000,1.000000,50.000000,0.194280
1,0.725736,-0.057399,29.000000,1.000000,125.000000,0.401251
1,-0.335431,-1.194738,29.000000,1.000000,75.000000,0.349050
1,-1.284920,1.142041,29.000000,1.000000,62.500000,0.337292
1,-0.869206,0.248680,32.000000,7.000000,218.660700,0.378416
1,-0.172324,-1.067822,29.000000,1.000000,12.500000,0.403407
1,-0.355948,0.169878,32.000000,7.000000,79.056940,0.410084
1,-0.742840,0.032212,32.000000,7.000000,106.800000,0.221465
1,-1.260452,0.205271,32.000000,7.000000,115.244300,0.214249
1,-1.139518,0.441016,32.000000,7.000000,100.778200,0.321942
1,-0.609832,-1.127836,32.000000,7.000000,187.500000,0.246966
1,0.471132,0.817624,32.000000,7.000000,128.695400,0.284600
1,0.096590,-0.527187,32.000000,7.000000,151.038100,0.301635
1,0.651968,-0.251206,32.000000,7.000000,12.500000,0.281070
1,-0.780346,-0.000867,32.000000,5.000000,208.041500,0.373429
1,1.505057,-0.529490,32.000000,7.000000,0.000000,0.258903
1,0.087635,2.232990,32.000000,7.000000,0.000000,0.283634
1,-0.922828,0.320383,19.000000,34.000000,177.658400,0.298874
1,-0.647167,0.130651,32.000000,7.000000,62.500000,0.258000
1,-0.898055,-0.279392,32.000000,7.000000,62.500000,0.291923
1,0.608518,-0.621684,32.000000,7.000000,240.117200,0.250010
1,-0.253033,0.686794,32.000000,7.000000,383.446500,0.247214
1,0.488228,-0.019871,19.000000,34.000000,355.316800,0.206473
