PROCESO,pc2,v2,v3,x2r,x3r,x4r
0,4,6,21,2,2,4
0,2,25,24,2,2,2
0,2,9,24,4,1,1
0,3,25,24,2,1,1
0,1,25,24,3,3,1
0,3,25,24,4,2,1
0,1,25,24,4,1,2
0,2,16,21,5,3,1
0,3,20,21,5,1,2
0,3,14,18,4,2,3
0,2,14,17,3,2,4
0,2,14,17,3,2,4
0,1,14,17,3,2,4
0,4,32,3,2,2,3
0,4,32,3,1,2,2
0,5,32,2,3,5,3
0,5,12,8,2,3,5
0,3,12,8,2,1,2
0,5,12,8,2,4,5
0,2,12,8,4,1,4
0,4,12,7,3,4,5
0,1,12,22,1,1,5
0,3,17,8,1,5,4
0,5,32,1,4,4,4
0,4,19,26,3,1,3
0,2,20,21,1,3,2
0,3,15,28,1,2,1
0,2,25,24,5,4,3
0,1,25,24,3,3,4
0,4,25,24,4,2,4
0,1,20,21,1,3,2
0,3,24,19,2,1,2
0,1,20,21,4,1,4
0,2,20,21,4,3,5
0,1,25,24,3,3,3
0,3,25,24,2,2,3
0,4,20,21,4,1,2
0,1,15,28,2,2,1
0,3,32,4,3,3,4
0,1,32,4,3,2,4
0,1,32,4,3,1,5
0,3,20,22,1,3,4
0,2,14,18,2,2,5
0,5,31,4,2,1,1
0,3,31,4,3,1,1
0,2,31,4,3,1,1
0,1,31,1,1,1,5
0,1,31,1,3,1,5
0,1,31,5,4,1,5
0,3,14,17,3,2,1
0,4,14,17,3,1,3
0,1,14,17,2,2,3
0,4,25,24,2,1,1
0,4,25,24,3,1,1
0,4,25,24,4,1,1
0,2,25,24,4,1,1
0,3,25,24,4,1,1
0,1,25,24,4,1,2
0,1,24,19,3,1,1
0,2,24,19,3,1,1
0,2,24,19,3,1,1
0,1,24,19,3,1,1
0,1,24,19,3,1,1
0,2,15,28,2,1,1
0,3,15,28,2,1,3
0,1,18,19,4,1,2
0,4,24,19,4,1,2
0,4,24,19,4,1,1
0,2,12,8,1,1,5
0,2,12,8,1,2,5
0,2,12,8,1,3,5
0,4,17,8,1,4,5
0,2,12,8,3,2,5
0,2,12,8,4,3,4
0,5,12,8,3,2,5
0,2,14,17,4,1,3
0,1,14,17,4,2,4
0,4,14,17,4,2,4
0,4,14,17,3,2,4
0,4,14,17,3,3,4
0,4,14,17,3,2,4
0,2,14,17,2,1,4
0,3,14,18,2,1,5
0,3,14,18,3,2,2
0,3,14,17,3,1,5
0,4,14,17,3,3,5
0,4,14,17,3,2,5
0,4,14,17,3,2,5
0,4,14,17,3,2,4
0,4,14,17,3,3,3
0,5,14,17,3,3,4
0,4,14,17,2,2,5
0,5,14,17,2,2,2
0,3,14,17,1,1,5
0,1,14,17,2,1,5
0,2,14,17,2,2,4
0,4,14,17,3,1,2
0,1,14,18,4,2,4
0,1,14,18,4,2,5
0,4,14,17,3,2,2
0,3,31,5,3,1,3
0,2,31,5,2,2,4
0,4,31,5,2,1,5
0,3,31,5,1,1,5
0,5,32,5,3,1,5
0,5,32,5,1,2,4
0,5,32,5,2,2,4
0,5,32,1,4,2,5
0,5,32,1,4,3,4
0,3,32,1,3,2,5
0,5,17,1,3,2,4
0,1,12,8,2,2,5
0,1,12,9,2,3,5
0,5,12,9,4,1,3
0,5,12,9,4,1,5
0,1,12,22,1,4,5
0,4,12,8,3,1,5
0,1,12,9,2,2,4
0,2,12,9,1,4,5
0,4,12,8,3,4,5
0,1,12,7,2,4,5
0,3,12,8,1,1,5
0,1,12,8,3,1,5
0,1,12,8,5,3,5
0,2,12,7,3,1,5
0,2,32,1,1,1,4
0,4,32,3,4,2,4
0,4,32,3,4,2,5
0,3,32,3,4,2,4
0,2,32,3,4,2,5
0,5,17,3,5,2,5
0,4,16,22,2,1,1
0,1,20,22,2,1,1
0,4,16,22,2,1,1
0,4,3,17,3,1,1
0,2,14,17,2,2,1
0,2,21,22,1,3,2
0,4,21,18,1,3,3
0,4,14,18,2,2,4
0,5,32,1,4,2,4
0,1,12,8,4,1,5
0,2,12,8,5,2,4
0,4,12,8,3,2,5
