PROCESO,pc2,pc3,v2x,v3x,x3,x4
1,1.020618,-0.457651,32,5,100.7782,0.40961
1,1.284262,0.202381,5,4,0,0.344615
1,0.541724,0.45962,29,1,50,0.19428
1,0.725736,-0.057399,29,1,125,0.401251
1,-0.335431,-1.194738,29,1,75,0.34905
1,-1.28492,1.142041,29,1,62.5,0.337292
1,-0.869206,0.24868,32,7,218.6607,0.378416
1,-0.172324,-1.067822,29,1,12.5,0.403407
1,-0.355948,0.169878,32,7,79.05694,0.410084
1,-0.74284,0.032212,32,7,106.8,0.221465
1,-1.260452,0.205271,32,7,115.2443,0.214249
1,-1.139518,0.441016,32,7,100.7782,0.321942
1,-0.609832,-1.127836,32,7,187.5,0.246966
1,0.471132,0.817624,32,7,128.6954,0.2846
1,0.09659,-0.527187,32,7,151.0381,0.301635
1,0.651968,-0.251206,32,7,12.5,0.28107
1,-0.780346,-0.000867,32,5,208.0415,0.373429
1,1.505057,-0.52949,32,7,0,0.258903
1,0.087635,2.23299,32,7,0,0.283634
1,-0.922828,0.320383,19,34,177.6584,0.298874
1,-0.647167,0.130651,32,7,62.5,0.258
1,-0.898055,-0.279392,32,7,62.5,0.291923
1,0.608518,-0.621684,32,7,240.1172,0.25001
1,-0.253033,0.686794,32,7,383.4465,0.247214
1,0.488228,-0.019871,19,34,355.3168,0.206473
1,-0.391101,-0.540405,32,7,112.5,0.287251
1,-0.7238,-0.480561,32,7,35.35534,0.329824
1,-0.11568,-0.062416,32,5,106.8,0.399828
1,0.304251,-0.910888,29,1,190.3943,0.284212
1,-0.450695,-0.887339,32,7,106.8,0.274988
1,-1.283817,0.624972,32,7,319.4233,0.336182
1,0.469998,0.732359,32,7,35.35534,0.30934
1,1.227365,0.108175,32,7,25,0.230736
1,-0.455383,-0.11833,32,5,150.5199,0.297662
1,-0.455383,-0.11833,32,5,150.5199,0.297662
1,0.963104,1.14727,32,5,141.4214,0.283517
1,1.548386,0.622014,5,4,35.35534,0.340926
1,0.591657,-0.932438,32,5,0,0.267506
1,-0.661304,-0.570614,32,7,35.35534,0.437622
1,-1.582559,1.433729,5,4,12.5,0.126723
1,0.967118,-1.281768,32,5,95.19717,0.285668
1,-0.69316,-0.038243,29,1,175,0.354621
1,-0.553508,0.168035,27,31,215.0581,0.365577
1,-0.638667,3.026196,9,32,162.5,0.278029
1,0.954479,1.300508,9,32,170.0184,0.278653
1,2.261216,1.050517,9,32,39.52847,0.416927
1,0.621656,-0.242155,9,32,35.35534,0.377551
1,-0.123996,-0.653731,32,7,53.03301,0.37256
1,2.138213,0.110408,5,4,223.6068,0.256552
1,-1.827927,1.149998,5,4,67.31456,0.421721
1,0.803101,-0.452191,5,4,12.5,0.180092
1,-1.388648,0.624252,5,4,0,0.349405
1,-2.264678,0.022664,17,13,353.7743,0.383775
1,1.850494,0.286488,32,5,17.67767,0.328143
1,1.713647,1.105915,9,38,17.67767,0.300387
1,-4.121489,-0.09254,21,32,260.1082,0.271363
1,-2.21465,2.598383,11,38,152.5819,0.480551
1,-1.097045,2.717855,7,20,176.7767,0.328208
1,-1.39992,2.554674,7,20,0,0.211182
1,0.547914,3.132332,7,20,12.5,0.298581
1,-1.906263,-0.576548,32,5,390.5125,0.291123
1,0.041037,-0.071197,32,5,415.5193,0.274897
1,-0.131777,-0.261664,19,34,138.067,0.406961
1,-0.385126,1.394351,32,5,87.5,0.308779
1,0.05255,0.097211,4,12,12.5,0.399304
1,-0.481402,-0.100886,19,34,88.38835,0.429005
1,-1.639343,-0.771503,32,5,433.9139,0.273938
1,-1.223431,0.37386,32,7,37.5,0.25493
1,-1.076136,-0.020351,30,2,185.8259,0.358828
1,-1.686736,1.310414,32,5,83.85255,0.255848
1,-0.714439,-1.651736,32,5,250,0.283844
1,-2.350864,-0.833579,32,5,62.5,0.313434
1,0.009257,-0.288716,32,5,173.6555,0.263404
1,0.610725,-0.335448,32,7,25,0.361404
1,1.856804,0.04318,5,4,27.95085,0.308247
1,1.771056,0.052183,5,4,12.5,0.408126
1,0.810948,-0.90877,32,5,150,0.177011
1,1.337225,0.049564,32,5,17.67767,0.342429
1,2.195767,1.52078,26,37,25,0.294793
